user_id,variant,converted,pre_spend,sessions,clicks
USR_00064,A (Control),0,56.35,3,1
USR_00065,A (Control),0,51.37,6,4
USR_00066,A (Control),0,41.18,4,1
USR_00067,A (Control),0,7.84,2,1
USR_00068,A (Control),1,42.56,7,3
USR_00069,A (Control),0,45.13,8,0
USR_00070,A (Control),0,163.82,6,4
USR_00071,A (Control),0,37.91,4,1
USR_00072,A (Control),0,52.83,4,1
USR_00073,A (Control),0,86.44,2,0
USR_00074,A (Control),1,69.45,1,1
USR_00075,A (Control),0,99.14,4,0
USR_00076,A (Control),0,13.78,5,2
USR_00077,A (Control),1,20.22,1,0
USR_00078,A (Control),0,28.71,1,0
USR_00079,A (Control),0,11.84,2,0
USR_00080,A (Control),0,45.38,4,1
USR_00081,A (Control),0,21.51,4,1
USR_00082,A (Control),0,106.85,7,1
USR_00083,A (Control),0,24.12,4,1
USR_00084,A (Control),0,34.53,6,2
USR_00085,A (Control),0,71.97,4,0
USR_00086,A (Control),0,16.26,6,5
USR_00087,A (Control),0,11.15,5,3
USR_00088,A (Control),0,49.0,9,3
USR_00089,A (Control),0,51.44,2,0
USR_00090,A (Control),1,70.67,5,4
USR_00091,A (Control),1,60.59,3,1
USR_00092,A (Control),0,52.68,4,3
USR_00093,A (Control),0,26.24,4,2
USR_00094,A (Control),1,50.54,6,1
USR_00095,A (Control),0,52.55,6,4
USR_00096,A (Control),0,25.52,3,1
USR_00097,A (Control),0,124.74,7,3
USR_00098,A (Control),0,58.83,3,0
USR_00099,A (Control),0,20.51,3,0
USR_00100,A (Control),0,70.88,5,1
USR_00101,A (Control),0,78.33,6,1
USR_00102,A (Control),0,56.66,3,1
USR_00103,A (Control),0,36.5,2,0
USR_00104,A (Control),0,24.72,5,4
USR_00105,A (Control),0,41.1,9,2
USR_00106,A (Control),0,54.17,9,5
USR_00107,A (Control),0,43.72,5,4
USR_00108,A (Control),0,101.75,2,0
USR_00109,A (Control),0,64.49,3,1
USR_00110,A (Control),0,22.68,6,3
USR_00111,A (Control),0,18.83,4,2
USR_00112,A (Control),0,59.15,5,0
USR_00113,A (Control),0,37.08,1,0
USR_00114,A (Control),0,67.93,4,0
USR_00115,A (Control),0,58.81,4,2
USR_00116,A (Control),0,41.22,8,1
USR_00117,A (Control),1,22.88,7,3
USR_00118,A (Control),1,12.29,4,1
USR_00119,A (Control),0,49.95,7,3
USR_00120,A (Control),0,16.03,6,3
USR_00121,A (Control),0,22.17,7,4
USR_00122,A (Control),0,48.02,5,0
USR_00123,A (Control),0,45.07,3,3
USR_00124,A (Control),0,17.64,7,3
USR_00125,A (Control),0,83.68,3,3
USR_00126,A (Control),0,82.35,1,0
USR_00127,A (Control),0,60.33,2,1
USR_00128,A (Control),0,60.29,4,2
USR_00129,A (Control),0,60.33,6,1
USR_00130,A (Control),0,77.92,2,0
USR_00131,A (Control),0,65.48,4,0
USR_00132,A (Control),0,24.33,6,4
USR_00133,A (Control),1,36.73,3,3
USR_00134,A (Control),0,153.43,7,4
USR_00135,A (Control),0,8.33,5,4
USR_00136,A (Control),0,30.87,4,5
USR_00137,A (Control),0,83.95,3,1
USR_00138,A (Control),1,25.5,5,1
USR_00139,A (Control),0,66.58,4,2
USR_00140,A (Control),0,44.69,5,1
USR_00141,A (Control),0,26.84,5,1
USR_00142,A (Control),0,6.88,7,4
USR_00143,A (Control),0,49.06,8,1
USR_00144,A (Control),0,23.94,3,0
USR_00145,A (Control),0,40.04,6,3
USR_00146,A (Control),0,59.96,2,0
USR_00147,A (Control),0,74.14,3,1
USR_00148,A (Control),0,30.8,6,2
USR_00149,A (Control),0,26.81,7,3
USR_00150,A (Control),0,15.8,5,1
USR_00151,A (Control),0,76.36,5,3
USR_00152,A (Control),0,140.64,6,5
USR_00153,A (Control),1,81.39,3,2
USR_00154,A (Control),0,92.35,5,4
USR_00155,A (Control),0,25.66,5,4
USR_00156,A (Control),0,57.76,9,3
USR_00157,A (Control),0,70.37,3,2
USR_00158,A (Control),0,0.82,2,1
USR_00159,A (Control),0,19.63,8,2
USR_00160,A (Control),0,111.34,3,2
USR_00161,A (Control),0,13.39,2,0
USR_00162,A (Control),0,101.12,4,0
USR_00163,A (Control),0,13.32,6,3
USR_00164,A (Control),0,20.39,4,1
USR_00165,A (Control),0,58.41,5,1
USR_00166,A (Control),0,45.42,6,4
USR_00167,A (Control),0,32.95,5,1
USR_00168,A (Control),0,108.8,3,2
USR_00169,A (Control),0,16.15,5,1
USR_00170,A (Control),0,39.02,5,4
USR_00171,A (Control),0,63.06,5,2
USR_00172,A (Control),0,52.14,3,1
USR_00173,A (Control),0,27.47,6,2
USR_00174,A (Control),0,28.2,8,5
USR_00175,A (Control),1,73.47,7,0
USR_00176,A (Control),1,75.58,2,1
USR_00177,A (Control),0,53.02,5,1
USR_00178,A (Control),0,23.22,4,3
USR_00179,A (Control),0,28.85,4,1
USR_00180,A (Control),0,42.72,5,1
USR_00181,A (Control),0,46.88,7,4
USR_00182,A (Control),0,61.52,2,1
USR_00183,A (Control),0,37.65,5,2
USR_00184,A (Control),0,72.46,3,1
USR_00185,A (Control),0,71.97,5,2
USR_00186,A (Control),0,94.25,7,1
USR_00187,A (Control),0,43.95,6,5
USR_00188,A (Control),0,53.59,3,1
USR_00189,A (Control),0,39.61,5,1
USR_00190,A (Control),0,23.43,8,5
USR_00191,A (Control),0,138.73,2,0
USR_00192,A (Control),0,87.15,4,6
USR_00193,A (Control),1,71.07,5,3
USR_00194,A (Control),0,42.97,3,1
USR_00195,A (Control),0,21.92,5,1
USR_00196,A (Control),0,78.85,5,2
USR_00197,A (Control),0,39.15,2,0
USR_00198,A (Control),0,56.66,3,2
USR_00199,A (Control),0,28.77,3,0
USR_00200,A (Control),0,50.95,4,1
USR_00201,A (Control),0,30.06,5,2
USR_00202,A (Control),1,30.89,2,1
USR_00203,A (Control),0,50.53,8,4
USR_00204,A (Control),0,13.15,4,2
USR_00205,A (Control),0,13.7,5,1
USR_00206,A (Control),0,25.44,4,1
USR_00207,A (Control),0,37.35,2,0
USR_00208,A (Control),1,73.8,5,0
USR_00209,A (Control),0,38.79,7,4
USR_00210,A (Control),0,42.79,5,1
USR_00211,A (Control),0,35.38,4,0
USR_00212,A (Control),0,53.55,3,2
USR_00213,A (Control),0,23.26,5,5
USR_00214,A (Control),0,40.21,5,2
USR_00215,A (Control),0,56.27,7,2
USR_00216,A (Control),0,50.27,3,1
USR_00217,A (Control),0,43.71,4,1
USR_00218,A (Control),0,44.06,4,2
USR_00219,A (Control),0,59.71,7,2
USR_00220,A (Control),0,142.65,5,0
USR_00221,A (Control),0,24.44,2,0
USR_00222,A (Control),0,145.05,3,1
USR_00223,A (Control),0,23.63,7,2
USR_00224,A (Control),0,6.06,4,0
USR_00225,A (Control),0,29.63,3,1
USR_00226,A (Control),0,54.19,2,0
USR_00227,A (Control),0,125.36,4,0
USR_00228,A (Control),0,21.9,4,1
USR_00229,A (Control),0,59.49,5,3
USR_00230,A (Control),0,14.93,5,3
USR_00231,A (Control),0,122.7,2,2
USR_00232,A (Control),0,88.15,3,1
USR_00233,A (Control),0,30.94,4,4
USR_00234,A (Control),0,96.66,2,0
USR_00235,A (Control),0,40.05,4,2
USR_00236,A (Control),1,90.94,5,3
USR_00237,A (Control),0,43.49,7,0
USR_00238,A (Control),0,44.73,4,1
USR_00239,A (Control),0,31.39,6,5
USR_00240,A (Control),1,64.38,6,3
USR_00241,A (Control),0,46.97,3,0
USR_00242,A (Control),0,60.31,7,3
USR_00243,A (Control),0,12.04,3,1
USR_00244,A (Control),0,92.88,5,5
USR_00245,A (Control),0,106.92,3,2
USR_00246,A (Control),0,46.83,8,4
USR_00247,A (Control),0,136.72,4,3
USR_00248,A (Control),1,118.27,2,1
USR_00249,A (Control),0,65.24,3,3
USR_00250,A (Control),0,97.4,5,2
USR_00251,A (Control),0,82.56,6,3
USR_00252,A (Control),0,9.44,6,3
USR_00253,A (Control),0,35.88,6,2
USR_00254,A (Control),0,68.08,7,2
USR_00255,A (Control),0,111.13,4,3
USR_00256,A (Control),0,14.08,7,2
USR_00257,A (Control),0,10.04,5,1
USR_00258,A (Control),0,41.72,7,4
USR_00259,A (Control),0,6.52,3,1
USR_00260,A (Control),0,40.76,7,2
USR_00261,A (Control),0,55.05,7,5
USR_00262,A (Control),0,21.14,6,1
USR_00263,A (Control),0,41.51,1,0
USR_00264,A (Control),0,77.97,3,0
USR_00265,A (Control),0,29.52,5,4
USR_00266,A (Control),0,23.93,6,2
USR_00267,A (Control),1,40.26,5,1
USR_00268,A (Control),0,19.44,9,4
USR_00269,A (Control),0,130.72,4,1
USR_00270,A (Control),0,44.38,7,10
USR_00271,A (Control),0,25.83,3,3
USR_00272,A (Control),0,49.94,4,1
USR_00273,A (Control),0,40.11,3,2
USR_00274,A (Control),0,37.15,2,0
USR_00275,A (Control),0,29.52,3,1
USR_00276,A (Control),0,28.5,5,1
USR_00277,A (Control),0,12.28,5,2
USR_00278,A (Control),0,97.31,8,3
USR_00279,A (Control),0,62.62,2,1
USR_00280,A (Control),0,53.16,3,0
USR_00281,A (Control),0,39.68,6,2
USR_00282,A (Control),0,20.85,4,3
USR_00283,A (Control),0,24.66,2,0
USR_00284,A (Control),0,13.5,4,2
USR_00285,A (Control),0,26.95,5,3
USR_00286,A (Control),0,18.66,4,1
USR_00287,A (Control),0,114.39,6,4
USR_00288,A (Control),0,74.81,7,4
USR_00289,A (Control),0,45.65,5,2
USR_00290,A (Control),0,22.6,2,0
USR_00291,A (Control),0,19.41,3,2
USR_00292,A (Control),0,37.97,8,5
USR_00293,A (Control),0,76.72,3,2
USR_00294,A (Control),0,13.82,3,1
USR_00295,A (Control),0,62.11,4,2
USR_00296,A (Control),0,26.86,6,6
USR_00297,A (Control),0,30.52,6,0
USR_00298,A (Control),0,44.78,9,4
USR_00299,A (Control),0,23.19,2,1
USR_00300,A (Control),0,36.67,3,1
USR_00301,A (Control),0,21.73,4,1
USR_00302,A (Control),0,28.47,9,5
USR_00303,A (Control),0,69.59,6,5
USR_00304,A (Control),0,46.32,8,4
USR_00305,A (Control),0,69.43,4,1
USR_00306,A (Control),0,26.61,4,1
USR_00307,A (Control),0,62.4,2,0
USR_00308,A (Control),0,10.91,3,2
USR_00309,A (Control),0,44.76,3,1
USR_00310,A (Control),0,64.98,2,0
USR_00311,A (Control),0,10.52,4,0
USR_00312,A (Control),0,26.84,2,0
USR_00313,A (Control),0,44.74,4,2
USR_00314,A (Control),1,80.22,2,0
USR_00315,A (Control),0,28.47,3,0
USR_00316,A (Control),0,60.88,6,2
USR_00317,A (Control),0,101.13,4,3
USR_00318,A (Control),0,62.64,6,1
USR_00319,A (Control),0,37.63,7,3
USR_00320,A (Control),0,55.2,5,2
USR_00321,A (Control),0,27.87,5,2
USR_00322,A (Control),0,45.93,2,1
USR_00323,A (Control),0,38.91,5,2
USR_00324,A (Control),0,54.05,7,1
USR_00325,A (Control),0,32.3,5,2
USR_00326,A (Control),0,56.01,4,1
USR_00327,A (Control),0,32.08,7,1
USR_00328,A (Control),1,74.37,6,4
USR_00329,A (Control),0,34.43,5,3
USR_00330,A (Control),0,6.77,2,0
USR_00331,A (Control),0,19.92,4,2
USR_00332,A (Control),0,43.88,4,4
USR_00333,A (Control),0,113.79,7,2
USR_00334,A (Control),0,72.62,1,2
USR_00335,A (Control),0,5.39,5,3
USR_00336,A (Control),0,12.75,5,2
USR_00337,A (Control),0,86.48,6,6
USR_00338,A (Control),0,64.76,4,1
USR_00339,A (Control),0,150.45,4,1
USR_00340,A (Control),0,31.17,4,1
USR_00341,A (Control),0,22.82,2,1
USR_00342,A (Control),0,45.47,2,0
USR_00343,A (Control),0,30.74,5,0
USR_00344,A (Control),0,81.62,7,3
USR_00345,A (Control),0,29.99,5,1
USR_00346,A (Control),0,35.86,7,0
USR_00347,A (Control),1,20.43,6,1
USR_00348,A (Control),0,69.66,5,3
USR_00349,A (Control),0,21.46,3,3
USR_00350,A (Control),0,56.68,5,2
USR_00351,A (Control),0,125.39,4,1
USR_00352,A (Control),0,9.23,4,1
USR_00353,A (Control),0,103.98,3,0
USR_00354,A (Control),0,52.11,4,3
USR_00355,A (Control),0,17.93,3,2
USR_00356,A (Control),0,46.63,4,0
USR_00357,A (Control),1,68.4,3,1
USR_00358,A (Control),0,23.98,3,1
USR_00359,A (Control),0,58.75,5,3
USR_00360,A (Control),0,109.19,6,5
USR_00361,A (Control),0,29.96,6,1
USR_00362,A (Control),0,20.24,5,3
USR_00363,A (Control),0,39.73,8,1
USR_00364,A (Control),0,44.99,3,0
USR_00365,A (Control),0,84.19,6,0
USR_00366,A (Control),0,38.85,3,0
USR_00367,A (Control),0,31.94,8,0
USR_00368,A (Control),0,19.85,8,1
USR_00369,A (Control),0,10.59,4,3
USR_00370,A (Control),0,15.37,4,1
USR_00371,A (Control),0,15.3,4,1
USR_00372,A (Control),0,36.13,3,1
USR_00373,A (Control),0,12.44,5,6
USR_00374,A (Control),0,41.75,4,1
USR_00375,A (Control),0,123.74,6,1
USR_00376,A (Control),0,85.68,5,5
USR_00377,A (Control),1,35.89,7,3
USR_00378,A (Control),1,171.81,4,1
USR_00379,A (Control),0,45.1,3,1
USR_00380,A (Control),0,49.43,4,0
USR_00381,A (Control),0,39.22,6,2
USR_00382,A (Control),0,42.38,1,1
USR_00383,A (Control),0,29.22,3,1
USR_00384,A (Control),0,36.25,8,5
USR_00385,A (Control),0,104.4,3,1
USR_00386,A (Control),0,91.34,4,1
USR_00387,A (Control),0,6.47,4,1
USR_00388,A (Control),0,13.7,12,3
USR_00389,A (Control),0,24.23,5,1
USR_00390,A (Control),0,77.13,7,7
USR_00391,A (Control),0,92.58,4,1
USR_00392,A (Control),0,68.24,5,2
USR_00393,A (Control),0,17.87,3,0
USR_00394,A (Control),0,29.65,1,0
USR_00395,A (Control),0,59.4,6,3
USR_00396,A (Control),0,36.64,5,2
USR_00397,A (Control),0,33.21,3,0
USR_00398,A (Control),0,33.55,3,2
USR_00399,A (Control),0,87.21,1,0
USR_00400,A (Control),0,63.24,6,2
USR_00401,A (Control),0,34.84,3,2
USR_00402,A (Control),0,53.66,4,0
USR_00403,A (Control),0,15.95,4,1
USR_00404,A (Control),1,29.69,7,3
USR_00405,A (Control),0,82.13,2,1
USR_00406,A (Control),0,11.76,4,1
USR_00407,A (Control),0,63.73,1,1
USR_00408,A (Control),0,6.4,3,2
USR_00409,A (Control),0,114.92,3,2
USR_00410,A (Control),0,29.19,2,3
USR_00411,A (Control),0,56.18,6,4
USR_00412,A (Control),0,46.78,3,1
USR_00413,A (Control),0,47.91,3,1
USR_00414,A (Control),0,53.04,4,3
USR_00415,A (Control),0,9.97,6,2
USR_00416,A (Control),0,48.56,3,2
USR_00417,A (Control),0,38.14,3,0
USR_00418,A (Control),0,29.31,7,4
USR_00419,A (Control),0,24.22,2,1
USR_00420,A (Control),0,49.36,5,4
USR_00421,A (Control),0,20.44,5,3
USR_00422,A (Control),0,81.24,5,4
USR_00423,A (Control),0,58.79,2,0
USR_00424,A (Control),0,51.32,5,3
USR_00425,A (Control),0,79.18,4,4
USR_00426,A (Control),0,8.59,4,3
USR_00427,A (Control),0,15.52,6,3
USR_00428,A (Control),0,60.43,6,5
USR_00429,A (Control),0,25.29,3,0
USR_00430,A (Control),0,27.71,2,0
USR_00431,A (Control),0,13.71,4,4
USR_00432,A (Control),0,20.49,3,2
USR_00433,A (Control),0,82.34,5,0
USR_00434,A (Control),0,59.54,8,2
USR_00435,A (Control),0,49.01,3,2
USR_00436,A (Control),0,28.5,6,3
USR_00437,A (Control),0,47.03,4,0
USR_00438,A (Control),0,86.74,2,1
USR_00439,A (Control),0,25.75,3,2
USR_00440,A (Control),0,42.31,4,4
USR_00441,A (Control),0,119.16,3,1
USR_00442,A (Control),0,67.69,4,2
USR_00443,A (Control),0,28.79,4,1
USR_00444,A (Control),0,64.34,4,2
USR_00445,A (Control),0,11.6,7,1
USR_00446,A (Control),0,41.18,7,2
USR_00447,A (Control),0,64.29,1,0
USR_00448,A (Control),1,55.52,2,0
USR_00449,A (Control),0,63.91,2,0
USR_00450,A (Control),0,72.81,6,6
USR_00451,A (Control),0,58.31,4,0
USR_00452,A (Control),0,57.25,3,1
USR_00453,A (Control),0,49.74,5,2
USR_00454,A (Control),0,18.66,6,1
USR_00455,A (Control),0,82.32,6,3
USR_00456,A (Control),0,42.18,10,3
USR_00457,A (Control),0,66.65,6,3
USR_00458,A (Control),0,77.24,5,3
USR_00459,A (Control),0,29.85,5,2
USR_00460,A (Control),0,31.76,4,0
USR_00461,A (Control),0,34.85,2,1
USR_00462,A (Control),0,91.81,5,1
USR_00463,A (Control),0,21.97,2,1
USR_00464,A (Control),0,101.41,4,2
USR_00465,A (Control),0,49.38,9,5
USR_00466,A (Control),0,51.68,5,2
USR_00467,A (Control),0,75.15,4,1
USR_00468,A (Control),0,45.8,6,2
USR_00469,A (Control),1,82.88,4,2
USR_00470,A (Control),0,29.82,2,2
USR_00471,A (Control),0,99.47,9,2
USR_00472,A (Control),0,31.5,4,3
USR_00473,A (Control),1,101.75,6,2
USR_00474,A (Control),1,32.1,3,2
USR_00475,A (Control),0,35.56,9,3
USR_00476,A (Control),0,19.98,7,4
USR_00477,A (Control),0,24.43,5,3
USR_00478,A (Control),0,42.32,3,1
USR_00479,A (Control),0,50.6,7,3
USR_00480,A (Control),0,79.25,2,1
USR_00481,A (Control),0,37.33,5,3
USR_00482,A (Control),0,17.97,1,1
USR_00483,A (Control),0,55.59,3,2
USR_00484,A (Control),0,48.42,4,1
USR_00485,A (Control),0,59.51,8,2
USR_00486,A (Control),0,27.14,6,5
USR_00487,A (Control),0,29.51,6,4
USR_00488,A (Control),0,27.15,5,2
USR_00489,A (Control),0,88.61,2,0
USR_00490,A (Control),0,100.05,4,3
USR_00491,A (Control),0,28.61,7,4
USR_00492,A (Control),0,29.02,3,3
USR_00493,A (Control),0,64.76,4,0
USR_00494,A (Control),0,106.72,2,0
USR_00495,A (Control),0,120.62,3,1
USR_00496,A (Control),0,27.68,5,3
USR_00497,A (Control),0,32.89,6,6
USR_00498,A (Control),0,52.31,4,1
USR_00499,A (Control),0,53.94,1,0
USR_00500,A (Control),1,38.33,5,1
USR_00501,A (Control),0,23.82,2,2
USR_00502,A (Control),0,42.37,4,1
USR_00503,A (Control),0,120.54,5,3
USR_00504,A (Control),0,29.81,5,2
USR_00505,A (Control),0,50.26,6,0
USR_00506,A (Control),0,168.41,5,2
USR_00507,A (Control),0,29.51,2,1
USR_00508,A (Control),0,66.67,3,1
USR_00509,A (Control),1,123.6,5,4
USR_00510,A (Control),0,63.15,2,1
USR_00511,A (Control),0,84.85,2,1
USR_00512,A (Control),1,72.25,6,0
USR_00513,A (Control),0,60.05,8,3
USR_00514,A (Control),0,98.09,4,2
USR_00515,A (Control),0,65.37,7,1
USR_00516,A (Control),0,38.6,3,1
USR_00517,A (Control),0,47.8,4,2
USR_00518,A (Control),0,55.12,10,2
USR_00519,A (Control),0,32.75,4,0
USR_00520,A (Control),0,49.21,4,1
USR_00521,A (Control),0,44.71,5,3
USR_00522,A (Control),0,65.25,6,3
USR_00523,A (Control),1,143.31,6,3
USR_00524,A (Control),0,51.1,5,1
USR_00525,A (Control),0,108.34,6,1
USR_00526,A (Control),0,63.81,2,0
USR_00527,A (Control),1,49.06,5,2
USR_00528,A (Control),0,31.47,8,4
USR_00529,A (Control),0,49.3,3,1
USR_00530,A (Control),0,47.37,2,1
USR_00531,A (Control),0,25.82,3,0
USR_00532,A (Control),0,28.87,5,1
USR_00533,A (Control),0,55.41,4,2
USR_00534,A (Control),0,107.69,5,3
USR_00535,A (Control),0,41.43,3,0
USR_00536,A (Control),0,13.16,6,5
USR_00537,A (Control),0,5.48,2,0
USR_00538,A (Control),0,19.69,5,4
USR_00539,A (Control),0,67.71,5,2
USR_00540,A (Control),0,15.51,5,2
USR_00541,A (Control),0,74.43,5,2
USR_00542,A (Control),0,65.43,3,3
USR_00543,A (Control),0,40.48,2,0
USR_00544,A (Control),0,25.99,3,1
USR_00545,A (Control),0,36.61,7,2
USR_00546,A (Control),0,54.55,3,3
USR_00547,A (Control),0,15.94,7,1
USR_00548,A (Control),0,101.25,6,3
USR_00549,A (Control),0,54.23,3,1
USR_00550,A (Control),0,58.22,4,2
USR_00551,A (Control),0,65.14,6,1
USR_00552,A (Control),0,95.42,3,1
USR_00553,A (Control),0,49.38,3,0
USR_00554,A (Control),0,67.74,4,4
USR_00555,A (Control),0,26.32,3,0
USR_00556,A (Control),1,120.91,7,7
USR_00557,A (Control),0,47.22,5,2
USR_00558,A (Control),0,26.22,5,0
USR_00559,A (Control),0,31.48,4,0
USR_00560,A (Control),0,8.11,7,3
USR_00561,A (Control),0,31.34,4,2
USR_00562,A (Control),0,3.98,5,2
USR_00563,A (Control),0,70.83,4,0
USR_00564,A (Control),0,57.1,2,0
USR_00565,A (Control),0,20.64,4,1
USR_00566,A (Control),1,41.94,6,3
USR_00567,A (Control),1,43.23,2,0
USR_00568,A (Control),0,17.4,8,3
USR_00569,A (Control),0,37.15,3,1
USR_00570,A (Control),0,44.13,4,2
USR_00571,A (Control),0,36.46,8,1
USR_00572,A (Control),0,26.2,2,3
USR_00573,A (Control),0,20.03,3,1
USR_00574,A (Control),0,35.57,5,1
USR_00575,A (Control),0,28.6,4,2
USR_00576,A (Control),0,62.47,6,4
USR_00577,A (Control),0,98.96,7,4
USR_00578,A (Control),0,76.65,2,0
USR_00579,A (Control),0,45.11,7,6
USR_00580,A (Control),0,26.94,5,0
USR_00581,A (Control),0,75.39,6,2
USR_00582,A (Control),1,64.85,3,0
USR_00583,A (Control),0,94.84,5,1
USR_00584,A (Control),0,49.41,5,0
USR_00585,A (Control),0,117.16,6,3
USR_00586,A (Control),0,49.42,5,0
USR_00587,A (Control),0,26.85,4,2
USR_00588,A (Control),0,30.59,2,0
USR_00589,A (Control),0,60.62,6,1
USR_00590,A (Control),0,28.54,6,2
USR_00591,A (Control),0,116.68,3,1
USR_00592,A (Control),0,57.49,4,2
USR_00593,A (Control),0,44.46,4,2
USR_00594,A (Control),0,46.96,2,2
USR_00595,A (Control),1,36.19,4,1
USR_00596,A (Control),0,10.43,3,1
USR_00597,A (Control),0,30.61,4,1
USR_00598,A (Control),0,108.15,3,1
USR_00599,A (Control),0,50.28,5,1
USR_00600,A (Control),0,82.05,4,2
USR_00601,A (Control),0,83.48,4,3
USR_00602,A (Control),0,42.21,3,1
USR_00603,A (Control),0,65.51,4,3
USR_00604,A (Control),0,11.52,6,3
USR_00605,A (Control),0,102.96,4,3
USR_00606,A (Control),0,97.98,5,4
USR_00607,A (Control),0,59.56,4,1
USR_00608,A (Control),0,51.47,4,3
USR_00609,A (Control),1,42.59,5,2
USR_00610,A (Control),0,87.84,6,3
USR_00611,A (Control),0,70.25,1,0
USR_00612,A (Control),0,33.52,2,3
USR_00613,A (Control),0,18.02,5,4
USR_00614,A (Control),0,15.3,6,4
USR_00615,A (Control),0,87.28,5,1
USR_00616,A (Control),0,41.97,7,2
USR_00617,A (Control),0,58.95,6,2
USR_00618,A (Control),0,45.63,5,4
USR_00619,A (Control),0,15.47,5,3
USR_00620,A (Control),0,11.76,5,1
USR_00621,A (Control),0,31.91,5,2
USR_00622,A (Control),0,33.86,2,1
USR_00623,A (Control),0,33.84,8,4
USR_00624,A (Control),0,34.54,4,1
USR_00625,A (Control),0,137.73,5,0
USR_00626,A (Control),0,81.29,5,0
USR_00627,A (Control),0,50.75,4,1
USR_00628,A (Control),0,41.26,3,3
USR_00629,A (Control),1,42.25,2,1
USR_00630,A (Control),0,68.68,8,4
USR_00631,A (Control),0,41.0,4,4
USR_00632,A (Control),0,76.29,5,2
USR_00633,A (Control),0,54.35,4,1
USR_00634,A (Control),0,138.47,4,1
USR_00635,A (Control),0,39.35,3,0
USR_00636,A (Control),0,84.83,4,2
USR_00637,A (Control),0,19.36,3,3
USR_00638,A (Control),0,27.44,2,2
USR_00639,A (Control),1,127.63,5,0
USR_00640,A (Control),0,74.33,3,1
USR_00641,A (Control),1,59.63,8,3
USR_00642,A (Control),0,159.58,4,1
USR_00643,A (Control),0,41.66,3,0
USR_00644,A (Control),0,84.71,5,2
USR_00645,A (Control),0,88.51,4,2
USR_00646,A (Control),0,111.4,4,2
USR_00647,A (Control),0,17.59,9,12
USR_00648,A (Control),0,41.47,5,2
USR_00649,A (Control),0,53.75,3,1
USR_00650,A (Control),0,110.31,8,6
USR_00651,A (Control),0,58.1,4,2
USR_00652,A (Control),0,88.63,5,2
USR_00653,A (Control),0,16.31,9,3
USR_00654,A (Control),0,35.15,7,2
USR_00655,A (Control),0,97.76,5,2
USR_00656,A (Control),0,38.44,6,5
USR_00657,A (Control),0,43.79,4,3
USR_00658,A (Control),0,109.26,2,0
USR_00659,A (Control),0,22.88,2,0
USR_00660,A (Control),1,27.11,2,0
USR_00661,A (Control),0,14.89,5,2
USR_00662,A (Control),0,111.88,5,1
USR_00663,A (Control),0,80.38,2,0
USR_00664,A (Control),0,79.14,2,1
